Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
33:47.7,0.468872172,0.235643953,-0.151365269,-0.036042303,-0.699064195,-0.161358833,-0.035643447,-0.699555278,-0.16063261,-0.036003157,-0.699906528,-0.160716057,-0.067561343,-0.692778945,-0.154537201,-0.067186028,-0.693937838,-0.155174732,-0.067552634,-0.69519043,-0.154393435,0.027778326,-0.67234844,-0.062393904,-0.115381189,-0.650805414,-0.04267931,-0.011352904,-0.632068932,-0.146870613,-0.054156363,-0.624457181,-0.140344143,0.150919572,-0.505922139,-0.000387501,-0.170641869,-0.492586017,0.019748926,0.317957669,-0.533802986,-0.068403602,1
33:48.4,0.476383197,0.161746293,-0.232778265,-0.03068931,-0.697005212,-0.097446442,-0.030298959,-0.697634161,-0.096725225,-0.030554097,-0.697857976,-0.096684456,-0.062305924,-0.693062007,-0.093894482,-0.061890405,-0.694059908,-0.094631195,-0.061992429,-0.695298791,-0.094132423,0.027137559,-0.670509338,0.005297661,-0.120038092,-0.657541573,0.008117199,-0.008734845,-0.630972028,-0.084960938,-0.052454904,-0.625940382,-0.083654881,0.136625692,-0.532531917,0.014415625,-0.172885135,-0.522527277,0.021357536,0.240921259,-0.687240422,-0.087305665,1
33:49.1,0.479097772,0.160074122,-0.265298983,-0.015414409,-0.721599936,-0.125165939,-0.015046373,-0.72218585,-0.124439001,-0.015255075,-0.722501278,-0.124443054,-0.047763232,-0.717812181,-0.122190952,-0.047381669,-0.718772709,-0.122927189,-0.047458895,-0.720018268,-0.122537613,0.043191135,-0.684630513,-0.019656897,-0.105838746,-0.671949327,-0.01960659,0.005041581,-0.653032541,-0.115521669,-0.039249558,-0.648236334,-0.114785194,0.14588657,-0.537557244,-0.012619574,-0.163196906,-0.524805069,-0.010142326,0.262532145,-0.702560365,-0.112465024,1
33:49.8,0.471118617,0.207901782,-0.131115863,-0.020823039,-0.701091826,-0.140413761,-0.020420199,-0.701705217,-0.139667988,-0.02084884,-0.701972961,-0.139702082,-0.051677417,-0.696729839,-0.131616354,-0.051334769,-0.697939396,-0.132314682,-0.051636096,-0.699232697,-0.131526232,0.047317069,-0.671091974,-0.046901703,-0.094268076,-0.657030702,-0.01883316,0.001985697,-0.634175777,-0.128987312,-0.040580593,-0.628981769,-0.120265961,0.163449779,-0.511824429,-0.007481795,-0.15842469,-0.50863874,0.04072547,0.322945714,-0.590593159,-0.081163406,1
33:50.4,0.471638703,0.247980806,-0.151699625,-0.037579704,-0.693961501,-0.167686701,-0.037190631,-0.694475591,-0.166984558,-0.037561111,-0.694865048,-0.166968346,-0.068869852,-0.686855793,-0.157003164,-0.068567738,-0.688047409,-0.15776825,-0.068901293,-0.689327776,-0.156767607,0.035514455,-0.675305665,-0.076236963,-0.105627626,-0.650391161,-0.038503647,-0.009942023,-0.630361438,-0.153234482,-0.052376501,-0.621693373,-0.141296387,0.161932707,-0.507056415,-0.012418643,-0.155921787,-0.489927948,0.036231041,0.327477485,-0.498663038,-0.084894776,1
33:51.1,0.471311742,0.250300494,-0.150698007,-0.034506381,-0.689365566,-0.164801121,-0.034076225,-0.689893901,-0.1641047,-0.034491889,-0.690283835,-0.164095402,-0.065765537,-0.682455301,-0.156454086,-0.065467477,-0.683598876,-0.157277346,-0.065837048,-0.684879124,-0.156214237,0.032381192,-0.66955471,-0.068601847,-0.109481223,-0.64541024,-0.041934013,-0.008241333,-0.625494063,-0.149262905,-0.05067667,-0.616967201,-0.140490055,0.155466378,-0.501940131,-0.000462439,-0.161881909,-0.484969229,0.031292677,0.322814733,-0.489220649,-0.07188189,1
33:51.8,0.474463534,0.246437922,-0.171503121,-0.011856077,-0.713168144,-0.160448313,-0.011435476,-0.713628709,-0.159708738,-0.011778905,-0.714003742,-0.159776211,-0.043531656,-0.707361162,-0.156174421,-0.043154798,-0.708499074,-0.156921625,-0.043467827,-0.709719777,-0.156015158,0.045515321,-0.680757284,-0.056511641,-0.098056272,-0.660969377,-0.047347069,0.010585186,-0.644883394,-0.146470785,-0.032152649,-0.637642622,-0.142821789,0.159599036,-0.503311396,0.008030992,-0.161183357,-0.486578584,0.013093472,0.329079509,-0.49619326,-0.055536151,1
33:52.5,0.474431741,0.245797449,-0.202446023,-0.003405644,-0.712543726,-0.165228844,-0.002987485,-0.712976038,-0.164493322,-0.003362165,-0.713354707,-0.164585114,-0.035331614,-0.70668292,-0.164476633,-0.034932397,-0.707832634,-0.165158749,-0.035287388,-0.70901835,-0.164393187,0.045952775,-0.679895043,-0.054062843,-0.098852567,-0.658969462,-0.061366081,0.018641204,-0.644206107,-0.149895191,-0.024491506,-0.636724174,-0.151213408,0.158431351,-0.503595173,0.015413709,-0.163429946,-0.485779166,-0.01078248,0.330791146,-0.505686402,-0.047814965,1
33:53.2,0.471019536,0.243168488,-0.165077074,-0.019565402,-0.717962027,-0.148767471,-0.019144827,-0.71838963,-0.148022652,-0.01948595,-0.718750596,-0.148108006,-0.051595174,-0.712660372,-0.146241426,-0.051228374,-0.713817894,-0.146942854,-0.051553123,-0.714997172,-0.146090746,0.034399971,-0.682096958,-0.040852547,-0.111315034,-0.664138854,-0.040354729,0.00135218,-0.648366451,-0.135172844,-0.041935004,-0.641676009,-0.134186029,0.145182416,-0.505794108,0.021261174,-0.174894944,-0.483823925,0.013455629,0.314603209,-0.513311982,-0.046378374,1
33:53.8,0.470518732,0.244537812,-0.154781461,-0.033460014,-0.717126906,-0.146206617,-0.033052608,-0.717561543,-0.145504713,-0.033396292,-0.717918038,-0.145540476,-0.065163717,-0.710992575,-0.140890598,-0.064816594,-0.712184966,-0.141590357,-0.065147676,-0.713368177,-0.140712023,0.028139334,-0.683137417,-0.043697119,-0.115906738,-0.661868513,-0.02976656,-0.009781575,-0.648428261,-0.133680582,-0.052640501,-0.640730143,-0.128851414,0.145807639,-0.507830322,0.015435688,-0.1741907,-0.481317759,0.026680946,0.31326738,-0.513891101,-0.050288916,1
33:54.5,0.471605355,0.243943959,-0.15663394,-0.026839305,-0.710225523,-0.150826931,-0.026421271,-0.710692644,-0.150107384,-0.026806306,-0.711070597,-0.150133133,-0.058194265,-0.703688443,-0.145380974,-0.057851374,-0.70484972,-0.146125555,-0.058205854,-0.706056774,-0.145222902,0.033999335,-0.679028511,-0.049014807,-0.108869508,-0.656501412,-0.035275936,-0.002043234,-0.642786145,-0.137584925,-0.044551983,-0.634656131,-0.132717848,0.154099435,-0.503051996,0.013971917,-0.166106269,-0.483505577,0.023261786,0.320103288,-0.500680208,-0.05605185,1
33:55.2,0.47205354,0.244551265,-0.155764627,-0.017199913,-0.714299321,-0.152017832,-0.01682532,-0.714709878,-0.151297808,-0.01716513,-0.71507287,-0.151358128,-0.048978858,-0.70822823,-0.147644758,-0.048625458,-0.709409475,-0.148327589,-0.04896434,-0.710586667,-0.147489786,0.041138556,-0.680689037,-0.047503233,-0.103028789,-0.659789383,-0.037970066,0.006015584,-0.645585895,-0.138631582,-0.036885954,-0.638050854,-0.135084152,0.156126678,-0.50601244,0.015962493,-0.164327309,-0.482057959,0.018488646,0.322809011,-0.511796951,-0.047359943,1
33:55.8,0.472582853,0.239196703,-0.144992126,-0.010955973,-0.713197351,-0.147605896,-0.010538447,-0.713651538,-0.146837473,-0.010886554,-0.71400404,-0.146939993,-0.042807352,-0.707579076,-0.145295858,-0.042408627,-0.708728015,-0.145975351,-0.042755447,-0.709943533,-0.145173073,0.04120091,-0.678898036,-0.040463448,-0.104291148,-0.65968442,-0.040642738,0.010364775,-0.644014716,-0.133821964,-0.032988019,-0.637021303,-0.133059025,0.15239574,-0.508239865,0.0234484,-0.168455809,-0.486031681,0.014501095,0.324689955,-0.531924009,-0.038294315,1
33:56.5,0.470952046,0.172841409,-0.094028266,-0.016585261,-0.706776619,-0.070141792,-0.016280182,-0.707499683,-0.069292545,-0.016512914,-0.707758129,-0.069224834,-0.048386488,-0.70239985,-0.068693876,-0.048065864,-0.703460336,-0.069312572,-0.048257563,-0.704693079,-0.068787336,0.034903377,-0.669816196,0.03784585,-0.115263067,-0.654527724,0.03074789,0.003509188,-0.638009191,-0.061570406,-0.041301746,-0.632282734,-0.063527107,0.143923357,-0.527928054,0.054099251,-0.183165848,-0.506529093,0.049364567,0.270198792,-0.681239307,-0.009967685,1
33:57.2,0.477342582,0.15091857,-0.22177147,-0.019753195,-0.703282952,-0.097351789,-0.01937899,-0.703948975,-0.096524,-0.019568633,-0.70429486,-0.096432447,-0.052057624,-0.699343503,-0.098492622,-0.051589169,-0.700276434,-0.099164486,-0.051677704,-0.701562285,-0.098738909,0.024795089,-0.674265265,0.015242338,-0.125091419,-0.659937918,-0.0046134,-0.001111533,-0.637443841,-0.08568716,-0.045536935,-0.632120728,-0.090718985,0.125099003,-0.534586608,0.031211983,-0.185794815,-0.519016683,-0.005995035,0.239865258,-0.715187311,-0.033902407,1
33:57.9,0.477588844,0.190017164,-0.100479934,-0.000447752,-0.703794122,-0.086704254,-9.23E-05,-0.704473436,-0.085892916,-0.000356685,-0.704760671,-0.085863829,-0.03271329,-0.700043023,-0.086104631,-0.032347664,-0.701106787,-0.08669591,-0.032584425,-0.702306628,-0.086157799,0.048798818,-0.668229222,0.024623156,-0.102134489,-0.65516144,0.014578342,0.015528354,-0.634446442,-0.076234579,-0.029642964,-0.629364073,-0.079032421,0.153500125,-0.516691625,0.060695115,-0.176369473,-0.502530336,0.037065268,0.299960732,-0.634179652,0.001377463,1
