Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
44:42.3,0.429054719,0.494960719,0.17181736,-0.517782211,-0.415456444,0.003371716,-0.517659962,-0.415872514,0.004464865,-0.518547297,-0.415492654,0.0047369,-0.51517272,-0.419528216,0.03917408,-0.515569389,-0.420378864,0.038597822,-0.516729057,-0.420804471,0.038997173,-0.415551156,-0.409734637,-0.05384016,-0.414411932,-0.43203643,0.085094452,-0.474001735,-0.371232122,0.00812149,-0.47267589,-0.376570135,0.04771328,-0.313569933,-0.277276725,-0.13486293,-0.305262804,-0.270248413,0.177085876,-0.505712688,-0.073881902,-0.08336103,1
44:43.0,0.507037747,0.315477979,0.088777842,-0.166579157,-0.656535983,-0.004390717,-0.166249543,-0.657049119,-0.003598928,-0.166704342,-0.657440722,-0.003815413,-0.168314397,-0.65914315,0.023568392,-0.167887434,-0.660245478,0.023372173,-0.168762699,-0.661436796,0.023945808,-0.075215481,-0.632603407,-0.025816917,-0.097393394,-0.656655312,0.082381248,-0.144961417,-0.597648859,0.012075901,-0.151190892,-0.601985216,0.043139696,-0.048314795,-0.483172148,-0.095151864,-0.048799682,-0.475944608,0.188158989,-0.142010078,-0.361379325,-0.144877195,1
44:43.7,0.490420347,0.274475363,0.070412218,-0.108686976,-0.674152553,-0.025990009,-0.108292207,-0.674690962,-0.025176287,-0.108791292,-0.674925447,-0.025287628,-0.118794218,-0.675246954,-0.003334045,-0.11834573,-0.676245868,-0.003676653,-0.119120002,-0.677525342,-0.003076553,-0.025707003,-0.653456807,-0.015627146,-0.081244834,-0.667818129,0.072676182,-0.086471975,-0.614307106,-0.008807898,-0.10272786,-0.6155653,0.016399145,0.003569155,-0.512460172,-0.087957442,-0.052659586,-0.483876437,0.179134607,-0.132636055,-0.433546782,-0.117625117,1
44:44.4,0.427239758,0.537605542,0.077869434,-0.517766058,-0.41399467,-0.029362679,-0.517679632,-0.414527416,-0.028275251,-0.518482506,-0.41400823,-0.028201342,-0.51656872,-0.417880774,0.007426739,-0.517008066,-0.418580085,0.006683111,-0.518024802,-0.419183671,0.007282972,-0.40830642,-0.402120769,-0.08361578,-0.409709156,-0.426149726,0.060957432,-0.479877263,-0.3641783,-0.023961306,-0.478849649,-0.370268613,0.017639875,-0.301717728,-0.249842137,-0.164328516,-0.302556843,-0.254168391,0.146807194,-0.494793475,-0.022438467,-0.112644911,1
44:45.1,0.435648966,0.461203498,0.097480874,-0.471837997,-0.470764101,0.027693272,-0.471838742,-0.471114367,0.028769732,-0.472672611,-0.470765471,0.02901125,-0.472557038,-0.475090712,0.06671834,-0.472933471,-0.47594884,0.066086531,-0.473972708,-0.476507843,0.066591978,-0.355784327,-0.454000533,-0.027059317,-0.364841789,-0.482761353,0.12966013,-0.440927088,-0.41562888,0.03248167,-0.441557139,-0.422682673,0.077277422,-0.260464102,-0.30542919,-0.107223533,-0.274611473,-0.278121322,0.211587667,-0.419593424,-0.085380122,-0.050132871,1
44:45.8,0.503174603,0.275701824,0.018783159,-0.163932979,-0.677076757,-0.029899359,-0.163562775,-0.677655637,-0.029270887,-0.164023325,-0.677876413,-0.02927351,-0.163696975,-0.680310011,0.000593901,-0.163335085,-0.681334198,0.000224113,-0.164179534,-0.682573915,0.000728607,-0.070323989,-0.652287602,-0.069403887,-0.080665544,-0.675512016,0.054805756,-0.142755195,-0.619025171,-0.014848471,-0.145278588,-0.623086512,0.021295071,-0.03041755,-0.506828606,-0.148468122,-0.039912648,-0.511304617,0.156189919,-0.120467804,-0.402088195,-0.206906796,1
44:46.4,0.500087333,0.276679832,0.146379401,-0.173843279,-0.665493667,-0.016723633,-0.173489466,-0.666048408,-0.016111374,-0.174132615,-0.66639024,-0.016056299,-0.172023401,-0.670520186,0.015507221,-0.171621099,-0.671673596,0.015172243,-0.172639236,-0.672884226,0.015635252,-0.081742421,-0.642914295,-0.067627907,-0.085362479,-0.674339771,0.065385818,-0.145978302,-0.611774564,-0.004439831,-0.146700397,-0.618421197,0.03380847,-0.04508619,-0.492736399,-0.14934057,-0.032198001,-0.503143489,0.165518522,-0.170767158,-0.352270752,-0.128764391,1
44:47.1,0.445125276,0.458275473,0.089540825,-0.45249176,-0.492378831,0.014247656,-0.452474236,-0.492786705,0.015256882,-0.453339159,-0.49241513,0.015495062,-0.451996595,-0.497545689,0.053134918,-0.452319771,-0.49843505,0.05260253,-0.453355014,-0.499055058,0.053058386,-0.339466721,-0.473622203,-0.04496026,-0.342007399,-0.506214261,0.11249876,-0.423899174,-0.436770827,0.019088507,-0.422628403,-0.444760501,0.064326763,-0.253401339,-0.312870175,-0.127817988,-0.254932791,-0.305557847,0.195990562,-0.422056079,-0.096332163,-0.059627652,1
44:47.8,0.418880969,0.668501246,0.014297722,-0.554554462,-0.268671215,-0.081280708,-0.554653764,-0.269236773,-0.080292702,-0.555346727,-0.268463135,-0.080438137,-0.554915607,-0.268738806,-0.049884796,-0.555568933,-0.269383311,-0.050678968,-0.556784987,-0.269914508,-0.050193071,-0.470831871,-0.317075223,-0.121364117,-0.481889069,-0.325557977,0.001718044,-0.487061381,-0.246422753,-0.067626953,-0.48815617,-0.247818887,-0.030905962,-0.346280158,-0.208349138,-0.178728223,-0.324761927,-0.244023591,0.110939741,-0.504118204,0.042227179,-0.126958609,1
44:48.5,0.413057667,0.681177354,0.042951042,-0.564498544,-0.222957671,-0.079249144,-0.564629436,-0.223543346,-0.078335285,-0.565332413,-0.222709998,-0.078377485,-0.564205945,-0.222201616,-0.048347473,-0.564907312,-0.222823396,-0.049171209,-0.566172361,-0.223388538,-0.048491001,-0.490659028,-0.282429755,-0.119021177,-0.499813378,-0.287995577,0.005074501,-0.492951602,-0.212393805,-0.066325188,-0.493819475,-0.212806582,-0.029476404,-0.365086287,-0.197343186,-0.173533425,-0.327853292,-0.225717723,0.113613129,-0.545173228,0.047576278,-0.132579446,1
